ppt_id,trial,stimulus,script,lexicality,word_eng,age,bilingual_status,correct_response,response,correct,rt,rt_sec
1,1,latin_realword_scoop.png,latin,word,scoop,22,balanced,word,word,TRUE,1420,1.42
1,2,chinese_nonword_grass.png,chinese,nonword,grass,22,balanced,nonword,word,FALSE,2955,2.955
1,3,chinese_realword_shave.png,chinese,word,shave,22,balanced,word,word,TRUE,817,0.817
1,4,latin_realword_home.png,latin,word,home,22,balanced,word,word,TRUE,1571,1.571
1,5,chinese_nonword_sand.png,chinese,nonword,sand,22,balanced,nonword,nonword,TRUE,1036,1.036
1,6,chinese_realword_change.png,chinese,word,change,22,balanced,word,word,TRUE,903,0.903
1,7,chinese_realword_bag.png,chinese,word,bag,22,balanced,word,word,TRUE,1270,1.27
1,8,latin_nonword_pat.png,latin,nonword,pat,22,balanced,nonword,nonword,TRUE,2506,2.506
1,9,chinese_realword_peach.png,chinese,word,peach,22,balanced,word,word,TRUE,784,0.784
1,10,latin_realword_brain.png,latin,word,brain,22,balanced,word,word,TRUE,869,0.869
1,11,chinese_nonword_eat.png,chinese,nonword,eat,22,balanced,nonword,nonword,TRUE,835,0.835
1,12,chinese_realword_praise.png,chinese,word,praise,22,balanced,word,word,TRUE,752,0.752
1,13,latin_realword_sisterinlaw.png,latin,word,sisterinlaw,22,balanced,word,word,TRUE,903,0.903
1,14,latin_nonword_put.png,latin,nonword,put,22,balanced,nonword,nonword,TRUE,886,0.886
1,15,latin_nonword_pinch.png,latin,nonword,pinch,22,balanced,nonword,nonword,TRUE,1788,1.788
1,16,latin_realword_feed.png,latin,word,feed,22,balanced,word,word,TRUE,1070,1.07
1,17,latin_realword_wet.png,latin,word,wet,22,balanced,word,word,TRUE,735,0.735
1,18,chinese_nonword_prawn.png,chinese,nonword,prawn,22,balanced,nonword,nonword,TRUE,2339,2.339
1,19,chinese_nonword_morning.png,chinese,nonword,morning,22,balanced,nonword,nonword,TRUE,1019,1.019
1,20,latin_realword_paper.png,latin,word,paper,22,balanced,word,word,TRUE,700,0.7
1,21,latin_realword_pull.png,latin,word,pull,22,balanced,word,nonword,FALSE,2721,2.721
1,22,chinese_realword_milk.png,chinese,word,milk,22,balanced,word,word,TRUE,752,0.752
1,23,latin_realword_lean.png,latin,word,lean,22,balanced,word,word,TRUE,1053,1.053
1,24,latin_nonword_wine.png,latin,nonword,wine,22,balanced,nonword,nonword,TRUE,4042,4.042
1,25,latin_nonword_medicine.png,latin,nonword,medicine,22,balanced,nonword,nonword,TRUE,1186,1.186
1,26,latin_nonword_invite.png,latin,nonword,invite,22,balanced,nonword,nonword,TRUE,1352,1.352
1,27,latin_nonword_tea.png,latin,nonword,tea,22,balanced,nonword,nonword,TRUE,802,0.802
1,28,chinese_nonword_keen.png,chinese,nonword,keen,22,balanced,nonword,nonword,TRUE,719,0.719
1,29,chinese_nonword_pearl.png,chinese,nonword,pearl,22,balanced,nonword,nonword,TRUE,1269,1.269
1,30,chinese_realword_island.png,chinese,word,island,22,balanced,word,word,TRUE,819,0.819
1,31,chinese_realword_good.png,chinese,word,good,22,balanced,word,word,TRUE,685,0.685
1,32,chinese_nonword_wealth.png,chinese,nonword,wealth,22,balanced,nonword,nonword,TRUE,1101,1.101
1,33,chinese_realword_tree.png,chinese,word,tree,22,balanced,word,word,TRUE,735,0.735
1,34,latin_realword_pickaxe.png,latin,word,pickaxe,22,balanced,word,word,TRUE,769,0.769
1,35,latin_nonword_cat.png,latin,nonword,cat,22,balanced,nonword,nonword,TRUE,1084,1.084
1,36,latin_nonword_flower.png,latin,nonword,flower,22,balanced,nonword,nonword,TRUE,1637,1.637
1,37,latin_nonword_sea.png,latin,nonword,sea,22,balanced,nonword,nonword,TRUE,1251,1.251
1,38,chinese_nonword_sister.png,chinese,nonword,sister,22,balanced,nonword,nonword,TRUE,1086,1.086
1,39,chinese_nonword_blink.png,chinese,nonword,blink,22,balanced,nonword,nonword,TRUE,685,0.685
1,40,chinese_realword_robe.png,chinese,word,robe,22,balanced,word,word,TRUE,4008,4.008
2,1,latin_nonword_peach.png,latin,nonword,peach,20,English-dominant,nonword,nonword,TRUE,1728.8999999999996,1.7288999999999997
2,2,chinese_nonword_paper.png,chinese,nonword,paper,20,English-dominant,nonword,word,FALSE,921.2000000000008,0.9212000000000008
2,3,latin_nonword_praise.png,latin,nonword,praise,20,English-dominant,nonword,nonword,TRUE,1073.7000000059595,1.0737000000059596
2,4,latin_nonword_good.png,latin,nonword,good,20,English-dominant,nonword,nonword,TRUE,1139.7000000000023,1.1397000000000024
2,5,latin_realword_pat.png,latin,word,pat,20,English-dominant,word,word,TRUE,806.3000000029788,0.8063000000029787
2,6,latin_nonword_tree.png,latin,nonword,tree,20,English-dominant,nonword,nonword,TRUE,851.7000000029802,0.8517000000029802
2,7,chinese_realword_grass.png,chinese,word,grass,20,English-dominant,word,word,TRUE,882.5,0.8825
2,8,chinese_realword_sand.png,chinese,word,sand,20,English-dominant,word,word,TRUE,883.1000000044696,0.8831000000044696
2,9,chinese_realword_blink.png,chinese,word,blink,20,English-dominant,word,word,TRUE,931.2999999999992,0.9312999999999992
2,10,chinese_realword_prawn.png,chinese,word,prawn,20,English-dominant,word,word,TRUE,811.4000000059605,0.8114000000059605
2,11,chinese_nonword_pickaxe.png,chinese,nonword,pickaxe,20,English-dominant,nonword,nonword,TRUE,726.9000000000087,0.7269000000000088
2,12,latin_realword_pinch.png,latin,word,pinch,20,English-dominant,word,word,TRUE,1842.3000000044703,1.8423000000044705
2,13,chinese_nonword_wet.png,chinese,nonword,wet,20,English-dominant,nonword,word,FALSE,1221.699999999997,1.2216999999999971
2,14,chinese_realword_eat.png,chinese,word,eat,20,English-dominant,word,word,TRUE,945.3999999999942,0.945399999999994
2,15,latin_realword_cat.png,latin,word,cat,20,English-dominant,word,word,TRUE,848.0000000014916,0.8480000000014916
2,16,chinese_nonword_brain.png,chinese,nonword,brain,20,English-dominant,nonword,word,FALSE,991.500000005959,0.9915000000059592
2,17,chinese_nonword_scoop.png,chinese,nonword,scoop,20,English-dominant,nonword,nonword,TRUE,1250.6000000029817,1.2506000000029818
2,18,latin_realword_medicine.png,latin,word,medicine,20,English-dominant,word,word,TRUE,758.8000000044703,0.7588000000044703
2,19,latin_realword_sea.png,latin,word,sea,20,English-dominant,word,word,TRUE,769.7000000000044,0.7697000000000044
2,20,latin_nonword_milk.png,latin,nonword,milk,20,English-dominant,nonword,nonword,TRUE,1893.800000000003,1.8938000000000028
2,21,latin_realword_wine.png,latin,word,wine,20,English-dominant,word,word,TRUE,840.400000001493,0.8404000000014931
2,22,latin_realword_flower.png,latin,word,flower,20,English-dominant,word,word,TRUE,711.9000000029773,0.7119000000029774
2,23,latin_nonword_change.png,latin,nonword,change,20,English-dominant,nonword,nonword,TRUE,1183.5000000044674,1.1835000000044675
2,24,chinese_realword_sister.png,chinese,word,sister,20,English-dominant,word,word,TRUE,2555.500000004467,2.555500000004467
2,25,latin_realword_tea.png,latin,word,tea,20,English-dominant,word,word,TRUE,1057.0000000059665,1.0570000000059665
2,26,chinese_nonword_lean.png,chinese,nonword,lean,20,English-dominant,nonword,nonword,TRUE,1831.7000000059631,1.8317000000059631
2,27,latin_nonword_robe.png,latin,nonword,robe,20,English-dominant,nonword,nonword,TRUE,795.0000000029831,0.7950000000029831
2,28,latin_nonword_shave.png,latin,nonword,shave,20,English-dominant,nonword,nonword,TRUE,1192.5000000014843,1.1925000000014845
2,29,chinese_nonword_home.png,chinese,nonword,home,20,English-dominant,nonword,nonword,TRUE,2264.300000000003,2.264300000000003
2,30,chinese_nonword_sisterinlaw.png,chinese,nonword,sisterinlaw,20,English-dominant,nonword,nonword,TRUE,2152.300000005954,2.1523000000059542
2,31,chinese_realword_wealth.png,chinese,word,wealth,20,English-dominant,word,word,TRUE,3581.400000004476,3.5814000000044763
2,32,chinese_realword_keen.png,chinese,word,keen,20,English-dominant,word,nonword,FALSE,3002.0000000000146,3.0020000000000144
2,33,chinese_realword_morning.png,chinese,word,morning,20,English-dominant,word,word,TRUE,2784.5,2.7845
2,34,chinese_nonword_feed.png,chinese,nonword,feed,20,English-dominant,nonword,nonword,TRUE,427.0999999999767,0.4270999999999767
2,35,chinese_realword_pearl.png,chinese,word,pearl,20,English-dominant,word,word,TRUE,6042.10000000149,6.04210000000149
2,36,latin_nonword_bag.png,latin,nonword,bag,20,English-dominant,nonword,nonword,TRUE,2719.100000005972,2.719100000005972
2,37,latin_realword_put.png,latin,word,put,20,English-dominant,word,word,TRUE,753.4000000059605,0.7534000000059604
2,38,latin_realword_invite.png,latin,word,invite,20,English-dominant,word,word,TRUE,835.300000002986,0.8353000000029861
2,39,latin_nonword_island.png,latin,nonword,island,20,English-dominant,nonword,nonword,TRUE,794.8999999999942,0.7948999999999942
2,40,chinese_nonword_pull.png,chinese,nonword,pull,20,English-dominant,nonword,nonword,TRUE,1502.7999999999884,1.5027999999999884
3,1,chinese_realword_scoop.png,chinese,word,scoop,18,balanced,word,word,TRUE,1050,1.05
3,2,chinese_realword_pull.png,chinese,word,pull,18,balanced,word,word,TRUE,1101,1.101
3,3,chinese_realword_paper.png,chinese,word,paper,18,balanced,word,word,TRUE,683,0.683
3,4,latin_realword_tree.png,latin,word,tree,18,balanced,word,nonword,FALSE,1635,1.635
3,5,latin_nonword_prawn.png,latin,nonword,prawn,18,balanced,nonword,word,FALSE,1033,1.033
3,6,chinese_nonword_pinch.png,chinese,nonword,pinch,18,balanced,nonword,word,FALSE,1500,1.5
3,7,chinese_realword_brain.png,chinese,word,brain,18,balanced,word,word,TRUE,934,0.934
3,8,latin_realword_change.png,latin,word,change,18,balanced,word,word,TRUE,2486,2.486
3,9,chinese_realword_home.png,chinese,word,home,18,balanced,word,word,TRUE,1535,1.535
3,10,chinese_nonword_pat.png,chinese,nonword,pat,18,balanced,nonword,nonword,TRUE,1617,1.617
3,11,latin_realword_good.png,latin,word,good,18,balanced,word,word,TRUE,1835,1.835
3,12,chinese_nonword_wine.png,chinese,nonword,wine,18,balanced,nonword,nonword,TRUE,1435,1.435
3,13,latin_nonword_pearl.png,latin,nonword,pearl,18,balanced,nonword,nonword,TRUE,885,0.885
3,14,latin_nonword_blink.png,latin,nonword,blink,18,balanced,nonword,nonword,TRUE,1485,1.485
3,15,latin_realword_shave.png,latin,word,shave,18,balanced,word,word,TRUE,918,0.918
3,16,latin_realword_island.png,latin,word,island,18,balanced,word,word,TRUE,851,0.851
3,17,latin_realword_praise.png,latin,word,praise,18,balanced,word,nonword,FALSE,1652,1.652
3,18,chinese_nonword_put.png,chinese,nonword,put,18,balanced,nonword,nonword,TRUE,3303,3.303
3,19,latin_realword_milk.png,latin,word,milk,18,balanced,word,word,TRUE,2985,2.985
3,20,latin_nonword_keen.png,latin,nonword,keen,18,balanced,nonword,nonword,TRUE,850,0.85
3,21,latin_nonword_sister.png,latin,nonword,sister,18,balanced,nonword,nonword,TRUE,751,0.751
3,22,latin_nonword_morning.png,latin,nonword,morning,18,balanced,nonword,nonword,TRUE,1919,1.919
3,23,latin_nonword_eat.png,latin,nonword,eat,18,balanced,nonword,nonword,TRUE,933,0.933
3,24,chinese_nonword_medicine.png,chinese,nonword,medicine,18,balanced,nonword,nonword,TRUE,1668,1.668
3,25,chinese_nonword_tea.png,chinese,nonword,tea,18,balanced,nonword,nonword,TRUE,950,0.95
